代码,行业板块,Nasdaq板块,细分行业,数据源,分类快照UTC
AIHS,非必需消费,Consumer Discretionary,Rental/Leasing Companies,Nasdaq screener download,2026-08-09T14:32:06+00:00
AIIO,工业,Industrials,Auto Manufacturing,Nasdaq screener download,2026-08-09T14:32:06+00:00
AIIR,非必需消费,Consumer Discretionary,Tobacco,Nasdaq screener download,2026-08-09T14:32:06+00:00
AIMD,信息技术,Technology,Computer peripheral equipment,Nasdaq screener download,2026-08-09T14:32:06+00:00
AIOT,通信服务,Telecommunications,Telecommunications Equipment,Nasdaq screener download,2026-08-09T14:32:06+00:00
AIP,信息技术,Technology,Semiconductors,Nasdaq screener download,2026-08-09T14:32:06+00:00
AIRE,金融,Finance,Real Estate,Nasdaq screener download,2026-08-09T14:32:06+00:00
AIRG,信息技术,Technology,Radio And Television Broadcasting And Communications Equipment,Nasdaq screener download,2026-08-09T14:32:06+00:00
AIRJ,工业,Industrials,Industrial Machinery/Components,Nasdaq screener download,2026-08-09T14:32:06+00:00
AIRO,工业,Industrials,Aerospace,Nasdaq screener download,2026-08-09T14:32:06+00:00
AIRS,医疗保健,Health Care,Medical/Nursing Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
AIRT,非必需消费,Consumer Discretionary,Air Freight/Delivery Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
AISP,信息技术,Technology,Computer Software: Prepackaged Software,Nasdaq screener download,2026-08-09T14:32:06+00:00
AIXC,金融,Finance,Finance: Consumer Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
AKAM,非必需消费,Consumer Discretionary,Business Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
AKBA,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
AKTS,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
ALAB,信息技术,Technology,Semiconductors,Nasdaq screener download,2026-08-09T14:32:06+00:00
ALCO,必需消费,Consumer Staples,Farming/Seeds/Milling,Nasdaq screener download,2026-08-09T14:32:06+00:00
ALDX,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
ALEC,医疗保健,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Nasdaq screener download,2026-08-09T14:32:06+00:00
ALGM,信息技术,Technology,Semiconductors,Nasdaq screener download,2026-08-09T14:32:06+00:00
ALGN,医疗保健,Health Care,Industrial Specialties,Nasdaq screener download,2026-08-09T14:32:06+00:00
ALGS,医疗保健,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Nasdaq screener download,2026-08-09T14:32:06+00:00
ALGT,非必需消费,Consumer Discretionary,Air Freight/Delivery Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
ALHC,医疗保健,Health Care,Medical Specialities,Nasdaq screener download,2026-08-09T14:32:06+00:00
ALKS,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
ALKT,信息技术,Technology,Computer Software: Prepackaged Software,Nasdaq screener download,2026-08-09T14:32:06+00:00
ALLO,医疗保健,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Nasdaq screener download,2026-08-09T14:32:06+00:00
ALLR,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
ALLT,通信服务,Telecommunications,Computer Communications Equipment,Nasdaq screener download,2026-08-09T14:32:06+00:00
ALMR,工业,Industrials,Biotechnology: Laboratory Analytical Instruments,Nasdaq screener download,2026-08-09T14:32:06+00:00
ALMS,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
ALMU,信息技术,Technology,Semiconductors,Nasdaq screener download,2026-08-09T14:32:06+00:00
ALNT,工业,Industrials,Electrical Products,Nasdaq screener download,2026-08-09T14:32:06+00:00
ALNY,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
ALOT,信息技术,Technology,Computer peripheral equipment,Nasdaq screener download,2026-08-09T14:32:06+00:00
ALOY,原材料,Basic Materials,Metal Mining,Nasdaq screener download,2026-08-09T14:32:06+00:00
ALP,金融,Finance,Finance: Consumer Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
ALPX,金融,Finance,Blank Checks,Nasdaq screener download,2026-08-09T14:32:06+00:00
ALRM,信息技术,Technology,Computer Software: Prepackaged Software,Nasdaq screener download,2026-08-09T14:32:06+00:00
ALRS,金融,Finance,Major Banks,Nasdaq screener download,2026-08-09T14:32:06+00:00
ALT,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
ALTI,金融,Finance,Investment Managers,Nasdaq screener download,2026-08-09T14:32:06+00:00
ALTO,工业,Industrials,Major Chemicals,Nasdaq screener download,2026-08-09T14:32:06+00:00
ALVO,医疗保健,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Nasdaq screener download,2026-08-09T14:32:06+00:00
ALXO,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
ALZN,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
AMAL,金融,Finance,Major Banks,Nasdaq screener download,2026-08-09T14:32:06+00:00
AMAN,金融,Finance,Blank Checks,Nasdaq screener download,2026-08-09T14:32:06+00:00
AMAT,信息技术,Technology,Semiconductors,Nasdaq screener download,2026-08-09T14:32:06+00:00
AMBA,信息技术,Technology,Semiconductors,Nasdaq screener download,2026-08-09T14:32:06+00:00
AMCI,非必需消费,Consumer Discretionary,Home Furnishings,Nasdaq screener download,2026-08-09T14:32:06+00:00
AMCX,通信服务,Telecommunications,Cable & Other Pay Television Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
AMD,信息技术,Technology,Semiconductors,Nasdaq screener download,2026-08-09T14:32:06+00:00
AMGN,医疗保健,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Nasdaq screener download,2026-08-09T14:32:06+00:00
AMIX,医疗保健,Health Care,Medical/Dental Instruments,Nasdaq screener download,2026-08-09T14:32:06+00:00
AMKR,信息技术,Technology,Semiconductors,Nasdaq screener download,2026-08-09T14:32:06+00:00
AMLX,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
AMPG,通信服务,Telecommunications,Telecommunications Equipment,Nasdaq screener download,2026-08-09T14:32:06+00:00
AMPH,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
AMPL,信息技术,Technology,Computer Software: Prepackaged Software,Nasdaq screener download,2026-08-09T14:32:06+00:00
AMRX,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
AMSC,非必需消费,Consumer Discretionary,Metal Fabrications,Nasdaq screener download,2026-08-09T14:32:06+00:00
AMSF,金融,Finance,Property-Casualty Insurers,Nasdaq screener download,2026-08-09T14:32:06+00:00
AMSS,必需消费,Consumer Staples,Beverages (Production/Distribution),Nasdaq screener download,2026-08-09T14:32:06+00:00
AMST,信息技术,Technology,Computer Software: Prepackaged Software,Nasdaq screener download,2026-08-09T14:32:06+00:00
AMTX,工业,Industrials,Major Chemicals,Nasdaq screener download,2026-08-09T14:32:06+00:00
AMZN,非必需消费,Consumer Discretionary,Catalog/Specialty Distribution,Nasdaq screener download,2026-08-09T14:32:06+00:00
ANAB,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
ANDE,工业,Industrials,Farming/Seeds/Milling,Nasdaq screener download,2026-08-09T14:32:06+00:00
ANGH,非必需消费,Consumer Discretionary,Telecommunications Equipment,Nasdaq screener download,2026-08-09T14:32:06+00:00
ANGI,非必需消费,Consumer Discretionary,Advertising,Nasdaq screener download,2026-08-09T14:32:06+00:00
ANGO,医疗保健,Health Care,Medical/Dental Instruments,Nasdaq screener download,2026-08-09T14:32:06+00:00
ANIK,医疗保健,Health Care,Medical/Dental Instruments,Nasdaq screener download,2026-08-09T14:32:06+00:00
ANIX,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
ANNA,能源,Energy,Oil & Gas Production,Nasdaq screener download,2026-08-09T14:32:06+00:00
ANNX,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
ANPA,非必需消费,Consumer Discretionary,Other Consumer Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
ANTA,金融,Finance,Investment Bankers/Brokers/Service,Nasdaq screener download,2026-08-09T14:32:06+00:00
ANTX,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
AOUT,非必需消费,Consumer Discretionary,Recreational Games/Products/Toys,Nasdaq screener download,2026-08-09T14:32:06+00:00
APA,能源,Energy,Oil & Gas Production,Nasdaq screener download,2026-08-09T14:32:06+00:00
APAC,金融,Finance,Blank Checks,Nasdaq screener download,2026-08-09T14:32:06+00:00
APC,能源,Energy,Oil Refining/Marketing,Nasdaq screener download,2026-08-09T14:32:06+00:00
APEI,房地产,Real Estate,Other Consumer Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
APGE,医疗保健,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Nasdaq screener download,2026-08-09T14:32:06+00:00
APLD,信息技术,Technology,EDP Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
APLM,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
APMC,金融,Finance,Blank Checks,Nasdaq screener download,2026-08-09T14:32:06+00:00
APOG,非必需消费,Consumer Discretionary,Auto Parts:O.E.M.,Nasdaq screener download,2026-08-09T14:32:06+00:00
APP,信息技术,Technology,Computer Software: Programming Data Processing,Nasdaq screener download,2026-08-09T14:32:06+00:00
APPF,信息技术,Technology,Computer Software: Prepackaged Software,Nasdaq screener download,2026-08-09T14:32:06+00:00
APPN,信息技术,Technology,Computer Software: Prepackaged Software,Nasdaq screener download,2026-08-09T14:32:06+00:00
APRE,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
APUR,金融,Finance,Blank Checks,Nasdaq screener download,2026-08-09T14:32:06+00:00
APVO,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
APWC,工业,Industrials,Telecommunications Equipment,Nasdaq screener download,2026-08-09T14:32:06+00:00
APYX,医疗保健,Health Care,Medical/Dental Instruments,Nasdaq screener download,2026-08-09T14:32:06+00:00
AQB,必需消费,Consumer Staples,Meat/Poultry/Fish,Nasdaq screener download,2026-08-09T14:32:06+00:00
AQMS,工业,Industrials,Metal Fabrications,Nasdaq screener download,2026-08-09T14:32:06+00:00
AQST,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
ARAI,非必需消费,Consumer Discretionary,Diversified Commercial Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
ARAY,医疗保健,Health Care,Medical/Dental Instruments,Nasdaq screener download,2026-08-09T14:32:06+00:00
ARBB,信息技术,Technology,EDP Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
ARBE,信息技术,Technology,EDP Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
ARCB,工业,Industrials,Trucking Freight/Courier Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
ARCC,金融,Finance,Finance: Consumer Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
ARCL,金融,Finance,Blank Checks,Nasdaq screener download,2026-08-09T14:32:06+00:00
ARCT,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
ARDX,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
AREC,能源,Energy,Coal Mining,Nasdaq screener download,2026-08-09T14:32:06+00:00
ARHS,非必需消费,Consumer Discretionary,Other Specialty Stores,Nasdaq screener download,2026-08-09T14:32:06+00:00
ARKO,必需消费,Consumer Staples,Food Chains,Nasdaq screener download,2026-08-09T14:32:06+00:00
ARKR,非必需消费,Consumer Discretionary,Restaurants,Nasdaq screener download,2026-08-09T14:32:06+00:00
AROW,金融,Finance,Major Banks,Nasdaq screener download,2026-08-09T14:32:06+00:00
ARQ,工业,Industrials,Major Chemicals,Nasdaq screener download,2026-08-09T14:32:06+00:00
ARQQ,信息技术,Technology,Computer Software: Prepackaged Software,Nasdaq screener download,2026-08-09T14:32:06+00:00
ARQT,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
ARRY,信息技术,Technology,Semiconductors,Nasdaq screener download,2026-08-09T14:32:06+00:00
ARTC,金融,Finance,Blank Checks,Nasdaq screener download,2026-08-09T14:32:06+00:00
ARTL,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
ARTNA,公用事业,Utilities,Water Supply,Nasdaq screener download,2026-08-09T14:32:06+00:00
ARTV,医疗保健,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Nasdaq screener download,2026-08-09T14:32:06+00:00
ARTW,工业,Industrials,Industrial Machinery/Components,Nasdaq screener download,2026-08-09T14:32:06+00:00
ARVN,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
ARWR,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
ARXS,工业,Industrials,Military/Government/Technical,Nasdaq screener download,2026-08-09T14:32:06+00:00
ASBP,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
ASLE,非必需消费,Consumer Discretionary,Industrial Specialties,Nasdaq screener download,2026-08-09T14:32:06+00:00
ASMB,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
ASO,非必需消费,Consumer Discretionary,Other Specialty Stores,Nasdaq screener download,2026-08-09T14:32:06+00:00
ASPC,金融,Finance,Blank Checks,Nasdaq screener download,2026-08-09T14:32:06+00:00
ASPI,工业,Industrials,Major Chemicals,Nasdaq screener download,2026-08-09T14:32:06+00:00
ASPS,非必需消费,Consumer Discretionary,Other Consumer Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
ASRV,金融,Finance,Major Banks,Nasdaq screener download,2026-08-09T14:32:06+00:00
ASST,信息技术,Technology,Computer Software: Prepackaged Software,Nasdaq screener download,2026-08-09T14:32:06+00:00
ASTC,工业,Industrials,Biotechnology: Laboratory Analytical Instruments,Nasdaq screener download,2026-08-09T14:32:06+00:00
ASTE,工业,Industrials,Construction/Ag Equipment/Trucks,Nasdaq screener download,2026-08-09T14:32:06+00:00
ASTH,非必需消费,Consumer Discretionary,Professional Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
ASTI,信息技术,Technology,Semiconductors,Nasdaq screener download,2026-08-09T14:32:06+00:00
ASTS,非必需消费,Consumer Discretionary,Telecommunications Equipment,Nasdaq screener download,2026-08-09T14:32:06+00:00
ASUR,信息技术,Technology,EDP Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
ASYS,信息技术,Technology,Industrial Machinery/Components,Nasdaq screener download,2026-08-09T14:32:06+00:00
ATAI,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
ATCX,原材料,Basic Materials,Precious Metals,Nasdaq screener download,2026-08-09T14:32:06+00:00
ATEC,医疗保健,Health Care,Medical/Dental Instruments,Nasdaq screener download,2026-08-09T14:32:06+00:00
ATER,非必需消费,Consumer Discretionary,Home Furnishings,Nasdaq screener download,2026-08-09T14:32:06+00:00
ATEX,通信服务,Telecommunications,Telecommunications Equipment,Nasdaq screener download,2026-08-09T14:32:06+00:00
ATGL,信息技术,Technology,EDP Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
ATHR,信息技术,Technology,Computer Software: Prepackaged Software,Nasdaq screener download,2026-08-09T14:32:06+00:00
ATLC,金融,Finance,Finance: Consumer Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
ATLO,金融,Finance,Major Banks,Nasdaq screener download,2026-08-09T14:32:06+00:00
ATLX,工业,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels),Nasdaq screener download,2026-08-09T14:32:06+00:00
ATNI,通信服务,Telecommunications,Telecommunications Equipment,Nasdaq screener download,2026-08-09T14:32:06+00:00
ATOM,信息技术,Technology,Semiconductors,Nasdaq screener download,2026-08-09T14:32:06+00:00
ATOS,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
ATPC,医疗保健,Health Care,Medical/Nursing Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
ATRA,医疗保健,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Nasdaq screener download,2026-08-09T14:32:06+00:00
ATRC,医疗保健,Health Care,Medical/Dental Instruments,Nasdaq screener download,2026-08-09T14:32:06+00:00
ATRO,工业,Industrials,Military/Government/Technical,Nasdaq screener download,2026-08-09T14:32:06+00:00
ATXG,非必需消费,Consumer Discretionary,Professional Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
ATYR,医疗保健,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Nasdaq screener download,2026-08-09T14:32:06+00:00
AUBN,金融,Finance,Major Banks,Nasdaq screener download,2026-08-09T14:32:06+00:00
AUC,非必需消费,Consumer Discretionary,Professional Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
AUDC,公用事业,Utilities,Telecommunications Equipment,Nasdaq screener download,2026-08-09T14:32:06+00:00
AUID,信息技术,Technology,Computer Software: Prepackaged Software,Nasdaq screener download,2026-08-09T14:32:06+00:00
AUPH,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
